ID,CÓDIGO,NOME PARLAMENTAR,NOME CIVIL,N PROCESSO,CLASSE,LEGISLATURA,LISTA_FACHIN
184,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,2529,Inq,2006-2010,
185,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,2969,Inq,2006-2010,
575,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,672,AP,2011-2014,
576,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,642,AP,2011-2014,
577,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,3316,Inq,2011-2014,
578,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,3812,Inq,2011-2014,
579,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,3734,Inq,2011-2014,
580,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,3667,Inq,2011-2014,
581,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,3405,Inq,2011-2014,
582,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,3473,Inq,2011-2014,
583,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,3438,Inq,2011-2014,
584,141463,ABELARDO CAMARINHA,JOSE ABELARDO GUIMARAES CAMARINHA,3872,Inq,2011-2014,
371,73764,ABELARDO LUPION,ABELARDO LUIZ LUPION MELLO,3210,Inq,2011-2014,
907,178864,ADAIL CARNEIRO,JOSE ADAIL CARNEIRO SILVA,4033,Inq,2015-2018,
1046,178914,ADALBERTO CAVALCANTI,ADALBERTO CAVALCANTI RODRIGUES,976,AP,2015-2018,
1152,178968,ADELSON BARRETO,ADELSON BARRETO DOS SANTOS,4204,Inq,2015-2018,
958,178903,ADILTON SACHETTI,ADILTON DOMINGOS SACHETTI,4310,Inq,2015-2018,
959,178903,ADILTON SACHETTI,ADILTON DOMINGOS SACHETTI,947,AP,2015-2018,
960,178903,ADILTON SACHETTI,ADILTON DOMINGOS SACHETTI,4210,Inq,2015-2018,
372,160577,ADRIAN,ADRIAN MUSSI RAMOS,3748,Inq,2011-2014,
373,160577,ADRIAN,ADRIAN MUSSI RAMOS,3725,Inq,2011-2014,
1,141372,AELTON FREITAS,AELTON JOSE DE FREITAS,2752,Inq,2006-2010,
374,141372,AELTON FREITAS,AELTON JOSE DE FREITAS,3675,Inq,2011-2014,
375,141372,AELTON FREITAS,AELTON JOSE DE FREITAS,3811,Inq,2011-2014,
376,141372,AELTON FREITAS,AELTON JOSE DE FREITAS,3908,Inq,2011-2014,
978,141372,AELTON FREITAS,AELTON JOSE DE FREITAS,3844,Inq,2015-2018,
377,160508,AFONSO FLORENCE,AFONSO BANDEIRA FLORENCE,3474,Inq,2011-2014,
1092,136811,AFONSO HAMM,JOSE ALFONSO EBERT HAMM,3989,Inq,2015-2018,
378,160527,AGUINALDO RIBEIRO,AGUINALDO VELLOSO BORGES RIBEIRO,3146,Inq,2011-2014,
1009,160527,AGUINALDO RIBEIRO,AGUINALDO VELLOSO BORGES RIBEIRO,3989,Inq,2015-2018,
1010,160527,AGUINALDO RIBEIRO,AGUINALDO VELLOSO BORGES RIBEIRO,3146,Inq,2015-2018,
2,141373,ALBANO FRANCO,ALBANO DO PRADO PIMENTEL FRANCO,2997,Inq,2006-2010,
144,73579,ALBERTO FRAGA,JOAO ALBERTO FRAGA SILVA,2845,Inq,2006-2010,
924,73579,ALBERTO FRAGA,JOAO ALBERTO FRAGA SILVA,907,AP,2015-2018,
925,73579,ALBERTO FRAGA,JOAO ALBERTO FRAGA SILVA,911,AP,2015-2018,
926,73579,ALBERTO FRAGA,JOAO ALBERTO FRAGA SILVA,930,AP,2015-2018,
927,73579,ALBERTO FRAGA,JOAO ALBERTO FRAGA SILVA,966,AP,2015-2018,
3,139133,ALCENI GUERRA,ALCENI ANGELO GUERRA,436,AP,2006-2010,
4,139133,ALCENI GUERRA,ALCENI ANGELO GUERRA,515,AP,2006-2010,
5,139133,ALCENI GUERRA,ALCENI ANGELO GUERRA,433,AP,2006-2010,
6,139133,ALCENI GUERRA,ALCENI ANGELO GUERRA,2545,Inq,2006-2010,
7,139133,ALCENI GUERRA,ALCENI ANGELO GUERRA,2794,Inq,2006-2010,
8,139133,ALCENI GUERRA,ALCENI ANGELO GUERRA,501,AP,2006-2010,
9,139133,ALCENI GUERRA,ALCENI ANGELO GUERRA,2546,Inq,2006-2010,
379,160559,ALCEU MOREIRA,ALCEU MOREIRA DA SILVA,3862,Inq,2011-2014,
380,160559,ALCEU MOREIRA,ALCEU MOREIRA DA SILVA,3076,Inq,2011-2014,
1093,160559,ALCEU MOREIRA,ALCEU MOREIRA DA SILVA,3076,Inq,2015-2018,
1126,178972,ALEX MANENTE,ALEX SPINELLI MANENTE,4007,Inq,2015-2018,
1127,178972,ALEX MANENTE,ALEX SPINELLI MANENTE,4468,Inq,2015-2018,
383,160545,ALEXANDRE LEITE,ALEXANDRE LEITE DA SILVA,3760,Inq,2011-2014,
384,160579,ALEXANDRE ROSO,ALEXANDRE RUBIO ROSO,625,AP,2011-2014,
385,160579,ALEXANDRE ROSO,ALEXANDRE RUBIO ROSO,633,AP,2011-2014,
386,160579,ALEXANDRE ROSO,ALEXANDRE RUBIO ROSO,3495,Inq,2011-2014,
381,74830,ALEXANDRE SANTOS,ALEXANDRE JOSE DOS SANTOS,3615,Inq,2011-2014,
382,74830,ALEXANDRE SANTOS,ALEXANDRE JOSE DOS SANTOS,3640,Inq,2011-2014,
136,141454,ALFREDO KAEFER,JACOB ALFREDO STOFFELS KAEFER,2589,Inq,2006-2010,
520,141454,ALFREDO KAEFER,JACOB ALFREDO STOFFELS KAEFER,892,AP,2011-2014,
521,141454,ALFREDO KAEFER,JACOB ALFREDO STOFFELS KAEFER,3809,Inq,2011-2014,
522,141454,ALFREDO KAEFER,JACOB ALFREDO STOFFELS KAEFER,3678,Inq,2011-2014,
1025,141454,ALFREDO KAEFER,JACOB ALFREDO STOFFELS KAEFER,4347,Inq,2015-2018,
1026,141454,ALFREDO KAEFER,JACOB ALFREDO STOFFELS KAEFER,4345,Inq,2015-2018,
1027,141454,ALFREDO KAEFER,JACOB ALFREDO STOFFELS KAEFER,4304,Inq,2015-2018,
1028,141454,ALFREDO KAEFER,JACOB ALFREDO STOFFELS KAEFER,4298,Inq,2015-2018,
1029,141454,ALFREDO KAEFER,JACOB ALFREDO STOFFELS KAEFER,3678,Inq,2015-2018,
1030,141454,ALFREDO KAEFER,JACOB ALFREDO STOFFELS KAEFER,3809,Inq,2015-2018,
1031,141454,ALFREDO KAEFER,JACOB ALFREDO STOFFELS KAEFER,892,AP,2015-2018,
884,178846,ALFREDO NASCIMENTO,ALFREDO PEREIRA DO NASCIMENTO,3694,Inq,2015-2018,
885,178846,ALFREDO NASCIMENTO,ALFREDO PEREIRA DO NASCIMENTO,960,AP,2015-2018,
1202,178846,ALFREDO NASCIMENTO,ALFREDO PEREIRA DO NASCIMENTO,3971,Inq,2015-2018,FACHIN
1203,178846,ALFREDO NASCIMENTO,ALFREDO PEREIRA DO NASCIMENTO,4443,Inq,2015-2018,FACHIN
10,141375,ALINE CORREA,ALINE LEMOS CORREA DE OLIVEIRA ANDRADE,2643,Inq,2006-2010,
11,141375,ALINE CORREA,ALINE LEMOS CORREA DE OLIVEIRA ANDRADE,473,AP,2006-2010,
387,160559,ALINE CORREA,ALINE LEMOS CORREA DE OLIVEIRA ANDRADE,3336,Inq,2011-2014,
388,141375,ALINE CORREA,ALINE LEMOS CORREA DE OLIVEIRA ANDRADE,689,AP,2011-2014,
585,160626,ALMEIDA LIMA,JOSE ALMEIDA LIMA,3536,Inq,2011-2014,
1073,178937,ALTINEU CORTES,ALTINEU CORTES FREITAS COUTINHO,3189,Inq,2015-2018,
1074,178937,ALTINEU CORTES,ALTINEU CORTES FREITAS COUTINHO,4327,Inq,2015-2018,
948,178882,ANDRE FUFUCA,ANDRE LUIZ CARVALHO RIBEIRO,4241,Inq,2015-2018,
389,160543,ANDRE MOURA,ANDRE LUIS DANTAS FERREIRA,3110,Inq,2011-2014,
390,160543,ANDRE MOURA,ANDRE LUIS DANTAS FERREIRA,3213,Inq,2011-2014,
391,160543,ANDRE MOURA,ANDRE LUIS DANTAS FERREIRA,3594,Inq,2011-2014,
1153,160543,ANDRE MOURA,ANDRE LUIS DANTAS FERREIRA,4327,Inq,2015-2018,
1154,160543,ANDRE MOURA,ANDRE LUIS DANTAS FERREIRA,3224,Inq,2015-2018,
1155,160543,ANDRE MOURA,ANDRE LUIS DANTAS FERREIRA,3594,Inq,2015-2018,
1156,160543,ANDRE MOURA,ANDRE LUIS DANTAS FERREIRA,3905,Inq,2015-2018,
1157,160543,ANDRE MOURA,ANDRE LUIS DANTAS FERREIRA,974,AP,2015-2018,
1158,160543,ANDRE MOURA,ANDRE LUIS DANTAS FERREIRA,973,AP,2015-2018,
1159,160543,ANDRE MOURA,ANDRE LUIS DANTAS FERREIRA,969,AP,2015-2018,
392,141378,ANDRE VARGAS,ANDRE LUIZ VARGAS ILARIO,3794,Inq,2011-2014,
393,141378,ANDRE VARGAS,ANDRE LUIZ VARGAS ILARIO,3596,Inq,2011-2014,
394,74377,ANDRE ZACHAROW,ANDRE ZACHAROW,3914,Inq,2011-2014,
,178974,ANDRES SANCHEZ,ANDRES NAVARRO SANCHEZ,3487,Inq,2011-2014,
1128,178974,ANDRES SANCHEZ,ANDRES NAVARRO SANCHEZ,4032,Inq,2015-2018,
1129,178974,ANDRES SANCHEZ,ANDRES NAVARRO SANCHEZ,4276,Inq,2015-2018,
1130,178974,ANDRES SANCHEZ,ANDRES NAVARRO SANCHEZ,4069,Inq,2015-2018,
1131,178974,ANDRES SANCHEZ,ANDRES NAVARRO SANCHEZ,4070,Inq,2015-2018,
1132,178974,ANDRES SANCHEZ,ANDRES NAVARRO SANCHEZ,4077,Inq,2015-2018,
1133,178974,ANDRES SANCHEZ,ANDRES NAVARRO SANCHEZ,4341,Inq,2015-2018,
1134,178974,ANDRES SANCHEZ,ANDRES NAVARRO SANCHEZ,4357,Inq,2015-2018,
13,73696,ANGELA AMIN,ANGELA REGINA HEINZEN AMIN HELOU,2948,Inq,2006-2010,
395,74212,ANIBAL GOMES,ANIBAL FERREIRA GOMES,3527,Inq,2011-2014,
396,74212,ANIBAL GOMES,ANIBAL FERREIRA GOMES,3655,Inq,2011-2014,
397,74212,ANIBAL GOMES,ANIBAL FERREIRA GOMES,3668,Inq,2011-2014,
908,74212,ANIBAL GOMES,ANIBAL FERREIRA GOMES,4327,Inq,2015-2018,
909,74212,ANIBAL GOMES,ANIBAL FERREIRA GOMES,4172,Inq,2015-2018,
910,74212,ANIBAL GOMES,ANIBAL FERREIRA GOMES,3989,Inq,2015-2018,
911,74212,ANIBAL GOMES,ANIBAL FERREIRA GOMES,4215,Inq,2015-2018,
912,74212,ANIBAL GOMES,ANIBAL FERREIRA GOMES,4216,Inq,2015-2018,
913,74212,ANIBAL GOMES,ANIBAL FERREIRA GOMES,3984,Inq,2015-2018,
,74212,ANIBAL GOMES,ANIBAL FERREIRA GOMES,4119,Inq,2015-2018,
,74212,ANIBAL GOMES,ANIBAL FERREIRA GOMES,1002,AP,2015-2018,
398,160539,ANTHONY GAROTINHO,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,3081,Inq,2011-2014,
399,123756,ANTONIA LUCIA,ANTONIA LUCILEIA CRUZ RAMOS CAMARA,673,AP,2011-2014,
400,123756,ANTONIA LUCIA,ANTONIA LUCILEIA CRUZ RAMOS CAMARA,3083,Inq,2011-2014,
401,123756,ANTONIA LUCIA,ANTONIA LUCILEIA CRUZ RAMOS CAMARA,3849,Inq,2011-2014,
402,123756,ANTONIA LUCIA,ANTONIA LUCILEIA CRUZ RAMOS CAMARA,3541,Inq,2011-2014,
403,123756,ANTONIA LUCIA,ANTONIA LUCILEIA CRUZ RAMOS CAMARA,3133,Inq,2011-2014,
404,123756,ANTONIA LUCIA,ANTONIA LUCILEIA CRUZ RAMOS CAMARA,3338,Inq,2011-2014,
405,141387,ANTONIO ANDRADE,ANTONIO EUSTAQUIO ANDRADE FERREIRA,3863,Inq,2011-2014,
921,74213,ANTONIO BALHMANN,ANTONIO BALHMANN CARDOSO NUNES FILHO,4042,Inq,2015-2018,
1211,160553,ANTONIO BRITO,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,4455,Inq,2015-2018,FACHIN
18,141383,ANTONIO BULHOES,ANTONIO CARLOS MARTINS DE BULHOES,2930,Inq,2006-2010,
406,160530,ANTONIO IMBASSAHY,ANTONIO JOSE IMBASSAHY DA SILVA,3546,Inq,2011-2014,
19,74701,ANTONIO PALOCCI,ANTONIO PALOCCI FILHO,2651,Inq,2006-2010,
20,74701,ANTONIO PALOCCI,ANTONIO PALOCCI FILHO,2767,Inq,2006-2010,
922,74103,ARIOSTO HOLANDA,FRANCISCO ARIOSTO HOLANDA,4378,Inq,2015-2018,
1213,73433,ARLINDO CHINAGLIA,ARLINDO CHIGNALIA JUNIOR,4461,Inq,2015-2018,FACHIN
1214,73433,ARLINDO CHINAGLIA,ARLINDO CHIGNALIA JUNIOR,4479,Inq,2015-2018,FACHIN
21,74405,ARMANDO ABILIO,ARMANDO ABILIO VIEIRA,2711,Inq,2006-2010,
22,74405,ARMANDO ABILIO,ARMANDO ABILIO VIEIRA,2692,Inq,2006-2010,
407,160546,ARMANDO VERGILIO,ARMANDO VERGILIO DOS SANTOS JUNIOR,3721,Inq,2011-2014,
23,73434,ARNALDO FARIA DE SA,ARNALDO FARIA DE SA,2597,Inq,2006-2010,
1135,73434,ARNALDO FARIA DE SA,ARNALDO FARIA DE SA,4327,Inq,2015-2018,
408,160602,ARNALDO JORDY,ARNALDO JORDY FIGUEIREDO,3659,Inq,2011-2014,
24,141392,ARNALDO VIANNA,ARNALDO FRANCA VIANNA,2826,Inq,2006-2010,
25,141392,ARNALDO VIANNA,ARNALDO FRANCA VIANNA,2827,Inq,2006-2010,
26,141392,ARNALDO VIANNA,ARNALDO FRANCA VIANNA,2921,Inq,2006-2010,
27,141392,ARNALDO VIANNA,ARNALDO FRANCA VIANNA,2923,Inq,2006-2010,
28,141392,ARNALDO VIANNA,ARNALDO FRANCA VIANNA,2917,Inq,2006-2010,
186,74291,ARNON BEZERRA,JOSE ARNON CRUZ BEZERRA DE MENEZES,2733,Inq,2006-2010,
590,74291,ARNON BEZERRA,JOSE ARNON CRUZ BEZERRA DE MENEZES,3586,Inq,2011-2014,
409,160541,ARTHUR LIRA,ARTHUR CESAR PEREIRA DE LIRA,3156,Inq,2011-2014,
410,160541,ARTHUR LIRA,ARTHUR CESAR PEREIRA DE LIRA,3515,Inq,2011-2014,
411,160541,ARTHUR LIRA,ARTHUR CESAR PEREIRA DE LIRA,3911,Inq,2011-2014,
412,160541,ARTHUR LIRA,ARTHUR CESAR PEREIRA DE LIRA,869,AP,2011-2014,
843,160541,ARTHUR LIRA,ARTHUR CESAR PEREIRA DE LIRA,3989,Inq,2015-2018,
844,160541,ARTHUR LIRA,ARTHUR CESAR PEREIRA DE LIRA,3980,Inq,2015-2018,
845,160541,ARTHUR LIRA,ARTHUR CESAR PEREIRA DE LIRA,3996,Inq,2015-2018,
846,160541,ARTHUR LIRA,ARTHUR CESAR PEREIRA DE LIRA,3911,Inq,2015-2018,
,160541,ARTHUR LIRA,ARTHUR CESAR PEREIRA DE LIRA,4128,Inq,2015-2018,
413,160600,ARTHUR OLIVEIRA MAIA,ARTHUR DE OLIVEIRA MAIA DA SILVA,3934,Inq,2011-2014,
888,160600,ARTHUR OLIVEIRA MAIA,ARTHUR DE OLIVEIRA MAIA DA SILVA,3934,Inq,2015-2018,
1187,160600,ARTHUR OLIVEIRA MAIA,ARTHUR DE OLIVEIRA MAIA DA SILVA,4405,Inq,2015-2018,FACHIN
29,74222,ASDRUBAL BENTES,ASDRUBAL MENDES BENTES,481,AP,2006-2010,
488,159237,ASSIS CARVALHO,FRANCISCO DE ASSIS CARVALHO GONCALVES,3144,Inq,2011-2014,
489,159237,ASSIS CARVALHO,FRANCISCO DE ASSIS CARVALHO GONCALVES,3175,Inq,2011-2014,
490,159237,ASSIS CARVALHO,FRANCISCO DE ASSIS CARVALHO GONCALVES,3664,Inq,2011-2014,
491,159237,ASSIS CARVALHO,FRANCISCO DE ASSIS CARVALHO GONCALVES,3103,Inq,2011-2014,
1069,159237,ASSIS CARVALHO,FRANCISCO DE ASSIS CARVALHO GONCALVES,4238,Inq,2015-2018,
1070,159237,ASSIS CARVALHO,FRANCISCO DE ASSIS CARVALHO GONCALVES,3103,Inq,2015-2018,
414,160581,ASSIS MELO,ASSIS FLAVIO DA SILVA MELO,3651,Inq,2011-2014,
415,160581,ASSIS MELO,ASSIS FLAVIO DA SILVA MELO,3853,Inq,2011-2014,
416,160581,ASSIS MELO,ASSIS FLAVIO DA SILVA MELO,3215,Inq,2011-2014,
417,160581,ASSIS MELO,ASSIS FLAVIO DA SILVA MELO,3854,Inq,2011-2014,
418,160581,ASSIS MELO,ASSIS FLAVIO DA SILVA MELO,3703,Inq,2011-2014,
30,74459,ATILA LIRA,ATILA FREITAS LIRA,2999,Inq,2006-2010,
31,74459,ATILA LIRA,ATILA FREITAS LIRA,2560,Inq,2006-2010,
419,160680,AUDIFAX,AUDIFAX CHARLES PIMENTEL BARCELOS,3199,Inq,2011-2014,
420,160665,AUGUSTO COUTINHO,AUGUSTO RODRIGUES COUTINHO DE MELO,3696,Inq,2011-2014,
1047,160665,AUGUSTO COUTINHO,AUGUSTO RODRIGUES COUTINHO DE MELO,978,AP,2015-2018,
421,160512,AUREO,AUREO LIDIO MOREIRA RIBEIRO,3649,Inq,2011-2014,
12,141376,BEL MESQUITA,ANA ISABEL MESQUITA DE OLIVEIRA,2965,Inq,2006-2010,
1011,74040,BENJAMIN MARANHAO,BENJAMIN GOMES MARANHAO NETO,676,AP,2015-2018,
508,160554,BERINHO BANTIM,HERBSON JAIRO RIBEIRO BANTIM,704,AP,2011-2014,
422,109152,BERNARDO SANTANA DE VASCONCELLOS,BERNARDO DE VASCONCELLOS MOREIRA,611,AP,2011-2014,
423,109152,BERNARDO SANTANA DE VASCONCELLOS,BERNARDO DE VASCONCELLOS MOREIRA,3273,Inq,2011-2014,
424,109152,BERNARDO SANTANA DE VASCONCELLOS,BERNARDO DE VASCONCELLOS MOREIRA,3276,Inq,2011-2014,
425,109152,BERNARDO SANTANA DE VASCONCELLOS,BERNARDO DE VASCONCELLOS MOREIRA,3802,Inq,2011-2014,
1048,178915,BETINHO GOMES,HEBERTE LAMARCK GOMES DA SILVA,4125,Inq,2015-2018,
1205,178915,BETINHO GOMES,HEBERTE LAMARCK GOMES DA SILVA,4446,Inq,2015-2018,FACHIN
1000,141335,BETO FARO,JOSE ROBERTO OLIVEIRA FARO,3889,Inq,2015-2018,
292,73437,BETO MANSUR,PAULO ROBERTO GOMES MANSUR,3016,Inq,2006-2010,
293,73437,BETO MANSUR,PAULO ROBERTO GOMES MANSUR,2496,Inq,2006-2010,
294,73437,BETO MANSUR,PAULO ROBERTO GOMES MANSUR,2519,Inq,2006-2010,
295,73437,BETO MANSUR,PAULO ROBERTO GOMES MANSUR,3013,Inq,2006-2010,
296,73437,BETO MANSUR,PAULO ROBERTO GOMES MANSUR,2688,Inq,2006-2010,
297,73437,BETO MANSUR,PAULO ROBERTO GOMES MANSUR,2616,Inq,2006-2010,
749,73437,BETO MANSUR,PAULO ROBERTO GOMES MANSUR,3315,Inq,2011-2014,
750,73437,BETO MANSUR,PAULO ROBERTO GOMES MANSUR,3793,Inq,2011-2014,
751,73437,BETO MANSUR,PAULO ROBERTO GOMES MANSUR,580,AP,2011-2014,
752,73437,BETO MANSUR,PAULO ROBERTO GOMES MANSUR,635,AP,2011-2014,
426,141513,BILAC PINTO,OLAVO BILAC PINTO NETO,3792,Inq,2011-2014,
979,141513,BILAC PINTO,OLAVO BILAC PINTO NETO,379,Inq,2015-2018,
32,74650,BONIFACIO DE ANDRADA,BONIFACIO DE ANDRADA,2463,Inq,2006-2010,
33,74650,BONIFACIO DE ANDRADA,BONIFACIO JOSE TAMM DE ANDRADA,2757,Inq,2006-2010,
34,74650,BONIFACIO DE ANDRADA,BONIFACIO JOSE TAMM DE ANDRADA,3065,Inq,2006-2010,
35,74650,BONIFACIO DE ANDRADA,BONIFACIO JOSE TAMM DE ANDRADA,2659,Inq,2006-2010,
980,74650,BONIFACIO DE ANDRADA,BONIFACIO JOSE TAMM DE ANDRADA,2757,Inq,2015-2018,
427,141394,BRUNO ARAUJO,BRUNO CAVALCANTI DE ARAUJO,3683,Inq,2011-2014,
428,141394,BRUNO ARAUJO,BRUNO CAVALCANTI DE ARAUJO,3684,Inq,2011-2014,
36,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,2517,Inq,2006-2010,
37,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,2649,Inq,2006-2010,
38,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,2744,Inq,2006-2010,
39,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,2464,Inq,2006-2010,
40,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,2464,Inq,2006-2010,
41,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,2464,Inq,2006-2010,
42,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,2464,Inq,2006-2010,
43,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,2464,Inq,2006-2010,
44,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,2464,Inq,2006-2010,
45,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,2579,Inq,2006-2010,
46,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,2489,Inq,2006-2010,
47,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,2489,Inq,2006-2010,
48,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,2489,Inq,2006-2010,
49,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,2489,Inq,2006-2010,
50,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,2489,Inq,2006-2010,
51,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,3008,Inq,2006-2010,
52,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,2460,Inq,2006-2010,
53,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,2460,Inq,2006-2010,
54,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,2460,Inq,2006-2010,
55,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,485,AP,2006-2010,
56,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,485,AP,2006-2010,
57,141393,BRUNO RODRIGUES,BRUNO RODRIGUES,485,AP,2006-2010,
1075,178938,CABO DACIOLO,BENEVENUTO DACIOLO FONSECA DOS SANTOS,927,AP,2015-2018,
1193,93083,CACA LEAO,CARLOS FELIPE VAZQUEZ DE SOUZA LEAO,4421,Inq,2015-2018,FACHIN
889,178853,CAETANO,LUIZ CARLOS CAETANO,4142,Inq,2015-2018,
890,178853,CAETANO,LUIZ CARLOS CAETANO,4143,Inq,2015-2018,
891,178853,CAETANO,LUIZ CARLOS CAETANO,3959,Inq,2015-2018,
58,141395,CAMILO COLA,CAMILO COLA,2836,Inq,2006-2010,
59,141397,CARLOS ALBERTO CANUTO,CARLOS ALBERTO CANUTO,2920,Inq,2006-2010,
62,141397,CARLOS ALBERTO CANUTO,CARLOS ALBERTO MOREIRA DE MENDONCA CANUTO,2884,Inq,2006-2010,
63,141397,CARLOS ALBERTO CANUTO,CARLOS ALBERTO MOREIRA DE MENDONCA CANUTO,2883,Inq,2006-2010,
64,141397,CARLOS ALBERTO CANUTO,CARLOS ALBERTO MOREIRA DE MENDONCA CANUTO,2885,Inq,2006-2010,
60,74290,CARLOS ALBERTO LEREIA,CARLOS ALBERTO LEREIA,2870,Inq,2006-2010,
61,74290,CARLOS ALBERTO LEREIA,CARLOS ALBERTO LEREIA,2874,Inq,2006-2010,
65,141401,CARLOS BEZERRA,CARLOS GOMES BEZERRA,520,AP,2006-2010,
66,141401,CARLOS BEZERRA,CARLOS GOMES BEZERRA,2500,Inq,2006-2010,
67,141401,CARLOS BEZERRA,CARLOS GOMES BEZERRA,2755,Inq,2006-2010,
436,141401,CARLOS BEZERRA,CARLOS GOMES BEZERRA,3128,Inq,2011-2014,
961,141401,CARLOS BEZERRA,CARLOS GOMES BEZERRA,520,AP,2015-2018,
437,160605,CARLOS MAGNO,CARLOS MAGNO RAMOS,638,AP,2011-2014,
438,160605,CARLOS MAGNO,CARLOS MAGNO RAMOS,566,AP,2011-2014,
439,160605,CARLOS MAGNO,CARLOS MAGNO RAMOS,3397,Inq,2011-2014,
434,74651,CARLOS MELLES,CARLOS DO CARMO ANDRADE MELLES,3507,Inq,2011-2014,
435,74651,CARLOS MELLES,CARLOS DO CARMO ANDRADE MELLES,3860,Inq,2011-2014,
429,73934,CARLOS SOUZA,CARLOS ALBERTO CAVALCANTE DE SOUZA,671,AP,2011-2014,
430,73934,CARLOS SOUZA,CARLOS ALBERTO CAVALCANTE DE SOUZA,3389,Inq,2011-2014,
431,73934,CARLOS SOUZA,CARLOS ALBERTO CAVALCANTE DE SOUZA,3770,Inq,2011-2014,
432,73934,CARLOS SOUZA,CARLOS ALBERTO CAVALCANTE DE SOUZA,3643,Inq,2011-2014,
433,73934,CARLOS SOUZA,CARLOS ALBERTO CAVALCANTE DE SOUZA,3160,Inq,2011-2014,
1169,141398,CARLOS ZARATTINI,CARLOS ALBERTO ROLIM ZARATTINI,4430,Inq,2015-2018,FACHIN
